metric,metric_label,pseudo_reference,candidate,score_human_reference,rank_human_reference,score_pseudo_reference,rank_pseudo_reference,rank_delta
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,GPT-4,64.99144784287905,1,81.26721146720904,1,0
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,TranssionMT,64.96517107570077,2,76.18183890383972,9,7
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,ONLINE-B,64.92238887429363,3,76.10257047400255,10,7
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,Dubformer,64.77520567148052,4,78.57638037975374,2,-2
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,ONLINE-A,64.75525702360295,5,76.71805772622739,5,0
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,ONLINE-W,64.70774070184761,6,76.2505416366973,7,1
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,Mistral-Large,64.66196761205306,7,78.34707847069856,3,-4
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,CommandR-plus,64.37546489090553,8,76.73847070193968,4,-4
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,Unbabel-Tower70B,64.11238184680474,9,74.62556936008771,11,2
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,Gemini-1.5-Pro,63.76847758316331,10,76.21505783477411,8,-2
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,IOL-Research,63.65246845542767,11,76.28521513216644,6,-5
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,ONLINE-G,62.76295734864495,12,74.59519243518544,12,0
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,Aya23,62.6975568682976,13,73.86111755192645,13,0
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,Llama3-70B,61.05562764775743,14,73.70659323333042,14,0
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,IKUN,60.57975167862788,15,69.13721173040845,16,1
