domain,metric,metric_label,candidate,score,domain_rank
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,TranssionMT,67.36866876166918,1
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-B,67.33333405075867,2
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,GPT-4,65.22149632299197,3
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Mistral-Large,64.9991424999034,4
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-W,64.76271913178492,5
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,64.53992733022064,6
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Unbabel-Tower70B,64.2317559008943,7
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-A,64.22109230253359,8
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Dubformer,64.09766204857836,9
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Gemini-1.5-Pro,63.78717035043682,10
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CommandR-plus,63.68780711165161,11
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-G,63.10232133049436,12
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IOL-Research,62.60084851113112,13
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Aya23,62.0443431757238,14
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Llama3-70B,61.748999116804725,15
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IKUN,59.95784090977725,16
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,NVIDIA-NeMo,59.67375141692671,17
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Phi-3-Medium,59.2814041907961,18
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IKUN-C,58.81025025522718,19
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CUNI-NL,57.005760005556304,20
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,AIST-AIRC,55.84917917487356,21
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,MSLC,48.651153720261306,22
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Occiglot,48.0501695352383,23
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,TSU-HITs,43.59410446177538,24
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CycleL,36.60587429477484,25
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CycleL2,36.60587429477484,25
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,45.33265854353603,1
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-B,45.26809015382824,2
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Gemini-1.5-Pro,41.0538117347682,3
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Mistral-Large,40.84732266778742,4
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Unbabel-Tower70B,40.46766836491959,5
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CommandR-plus,40.01392857920166,6
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,GPT-4,39.20548726738453,7
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Claude-3.5,39.14012305521088,8
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IOL-Research,38.602122859387926,9
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-A,38.42848646848008,10
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-W,38.33833840570206,11
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Dubformer,38.3230229846863,12
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Aya23,38.1172752668635,13
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-G,37.14081751085433,14
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Llama3-70B,37.062329646488514,15
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IKUN,35.683276713703016,16
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IKUN-C,35.39989258230745,17
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Phi-3-Medium,32.275135316130445,18
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,NVIDIA-NeMo,32.05144806652857,19
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CUNI-NL,31.69938316671142,20
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,AIST-AIRC,31.36163003432588,21
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Occiglot,25.56067947625586,22
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,MSLC,23.009912957022383,23
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TSU-HITs,21.055874015542926,24
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CycleL,13.653226808219788,25
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CycleL2,13.653226808219788,25
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-W,66.49196655973955,1
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-A,66.2106222290887,2
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,TranssionMT,65.83047457406029,3
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,65.74757513605002,4
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-B,65.72119498009832,5
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Gemini-1.5-Pro,65.26583597079842,6
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,GPT-4,65.1944837384176,7
