domain,metric,metric_label,candidate,score,domain_rank
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,TranssionMT,67.36866876166918,1
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-B,67.33333405075867,2
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,GPT-4,65.22149632299197,3
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Mistral-Large,64.9991424999034,4
literary,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-W,64.76271913178492,5
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,45.33265854353603,1
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-B,45.26809015382824,2
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Gemini-1.5-Pro,41.0538117347682,3
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Mistral-Large,40.84732266778742,4
literary,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Unbabel-Tower70B,40.46766836491959,5
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-W,66.49196655973955,1
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-A,66.2106222290887,2
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,TranssionMT,65.83047457406029,3
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,65.74757513605002,4
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-B,65.72119498009832,5
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-W,35.41298636413327,1
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-A,34.94944823852816,2
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,34.92633271008208,3
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-B,34.70096469492826,4
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Dubformer,34.03468156985437,5
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Dubformer,64.36357454537344,1
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,64.32254137446418,2
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-A,63.56514569831048,3
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,GPT-4,63.55803439247993,4
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CommandR-plus,63.53116642400174,5
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Dubformer,41.203913071025184,1
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Claude-3.5,41.05306544132336,2
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-A,40.76286886380632,3
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,GPT-4,40.24007771624085,4
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CommandR-plus,39.761858825163166,5
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-W,71.36363579928016,1
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,GPT-4,70.833715002035,2
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-B,70.33882390456783,3
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,TranssionMT,70.33650307006009,4
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Gemini-1.5-Pro,70.26476771321958,5
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-W,43.67615942413428,1
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,GPT-4,43.12660749266384,2
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Gemini-1.5-Pro,42.73001384104745,3
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-B,42.671591128118834,4
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,42.609989981183936,5
